category_id,product_name,product_quantity,product_mrp_price,product_regular_price,product_desc,product_content,product_video
2,2 3/4' Kuruvi Crackers,10,22.5,22.5,,1Pkt,
2,2 3/4' Kuruvi Deluxe,10,25,25,,1Pkt,
